id,category_id,category_name,category_count_ratio,mask_count_ratio
0,25,apple,1.00,0.3777
1,0,background,0.97,0.5364
2,25,apple,1.00,0.3775
3,25,apple,0.91,0.0634
4,0,background,0.98,0.3374
5,0,background,0.97,0.1954
6,25,apple,0.98,0.0127
7,25,apple,1.00,0.0051
8,25,apple,1.00,0.0007
9,25,apple,0.69,0.0030
10,25,apple,1.00,0.0015
11,25,apple,0.96,0.0074
12,25,apple,1.00,0.0014
13,25,apple,1.00,0.0003
14,25,apple,1.00,0.0007
15,25,apple,1.00,0.0001
16,25,apple,1.00,0.0003
17,25,apple,1.00,0.0005
18,25,apple,1.00,0.0003
19,25,apple,1.00,0.0009
20,25,apple,1.00,0.0006
21,25,apple,1.00,0.0003
22,25,apple,1.00,0.0003
23,25,apple,1.00,0.0001
24,25,apple,1.00,0.0004
25,25,apple,1.00,0.0002
26,25,apple,1.00,0.0003
27,25,apple,1.00,0.0001
28,25,apple,1.00,0.0001
