id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,363074,84,259,686,675,352.1875,475.171875,1.050680160522461,0.9920578002929688,0,0,980,981
1,515697,3,0,975,980,15.3125,536.484375,1.0135109424591064,0.9874239563941956,0,0,980,981
2,362946,85,105,806,829,689.0625,812.390625,1.0079357624053955,0.9908745884895325,0,0,980,981
3,60940,437,24,495,484,750.3125,199.265625,1.0042386054992676,0.9702664017677307,0,0,980,981
4,324357,2,0,975,676,964.6875,567.140625,1.0006513595581055,0.9506950378417969,0,0,980,981
5,187825,3,588,974,392,964.6875,628.453125,0.9908720254898071,0.9538478255271912,0,0,980,981
6,12254,436,23,107,422,505.3125,107.296875,0.9868711233139038,0.9703941941261292,0,0,980,981
7,4941,434,209,79,236,474.6875,321.890625,0.9845775961875916,0.9648181200027466,0,0,980,981
8,629,403,502,26,33,413.4375,505.828125,0.9649754762649536,0.9810725450515747,0,0,980,981
9,2871,878,354,54,156,903.4375,383.203125,0.9626547694206238,0.9687714576721191,0,0,980,981
10,1481,398,621,35,51,413.4375,628.453125,0.9599342346191406,0.9785666465759277,0,0,980,981
11,7149,481,22,63,196,505.3125,137.953125,0.9596403241157532,0.965887188911438,0,0,980,981
12,1365,454,649,39,43,474.6875,659.109375,0.957781195640564,0.9811046719551086,0,0,980,981
13,277,407,467,20,15,413.4375,475.171875,0.9574443101882935,0.9892857074737549,0,0,980,981
14,706,353,461,39,25,382.8125,475.171875,0.9568543434143066,0.9818181991577148,0,0,980,981
15,122,227,537,12,11,229.6875,536.484375,0.9565903544425964,0.9599999785423279,0,0,980,981
16,269,256,568,16,19,260.3125,567.140625,0.9560710787773132,0.9816849827766418,0,0,980,981
17,452,459,535,27,23,474.6875,536.484375,0.9499362707138062,0.9867841601371765,0,0,980,981
18,253,292,524,21,17,290.9375,536.484375,0.9424977898597717,0.9803149700164795,0,0,980,981
19,839,415,703,38,34,444.0625,720.421875,0.9369913339614868,0.9754385948181152,0,0,980,981
20,591,362,635,28,28,382.8125,659.109375,0.934148371219635,0.9749582409858704,0,0,980,981
21,296,640,469,20,18,658.4375,475.171875,0.9301917552947998,0.9800000190734863,0,0,980,981
22,251,535,770,16,18,535.9375,781.734375,0.924201250076294,0.9841269850730896,0,0,980,981
23,120,231,559,10,15,229.6875,567.140625,0.9240566492080688,0.9593495726585388,0,0,980,981
24,384,596,467,25,18,597.1875,475.171875,0.9229381084442139,0.9717223644256592,0,0,980,981
25,215,610,650,16,16,627.8125,659.109375,0.9200303554534912,0.9726027250289917,0,0,980,981
26,257,553,440,20,15,566.5625,444.515625,0.9117242097854614,0.9503816962242126,0,0,980,981
27,80,292,561,8,10,290.9375,567.140625,0.9057742953300476,0.987500011920929,0,0,980,981
28,144,629,438,13,11,627.8125,444.515625,0.9010554552078247,0.9862068891525269,0,0,980,981
