id,category_id,category_name,category_count_ratio,mask_count_ratio
0,25,apple,0.95,0.1277
1,0,background,1.00,0.0979
2,0,background,0.99,0.2308
3,103,other ingredients,0.56,0.0081
4,58,bread,1.00,0.1160
5,0,background,1.00,0.0978
6,0,background,0.94,0.0078
7,80,lettuce,0.99,0.0111
8,0,background,1.00,0.0976
9,0,background,1.00,0.0977
10,0,background,0.99,0.0903
11,80,lettuce,0.92,0.0223
12,80,lettuce,0.96,0.0028
13,25,apple,1.00,0.0024
14,58,bread,0.63,0.2644
15,58,bread,0.97,0.0501
16,0,background,0.94,0.0041
17,93,onion,0.67,0.0013
18,93,onion,0.53,0.0536
19,58,bread,1.00,0.0007
20,0,background,1.00,0.0246
21,58,bread,0.99,0.0337
22,0,background,1.00,0.0036
23,25,apple,1.00,0.0108
24,0,background,0.99,0.0288
25,0,background,1.00,0.0005
26,58,bread,1.00,0.0006
27,58,bread,0.96,0.0156
28,0,background,0.99,0.0059
29,0,background,1.00,0.0009
30,80,lettuce,0.46,0.0155
31,58,bread,1.00,0.0004
32,0,background,1.00,0.0090
33,80,lettuce,0.43,0.0012
34,80,lettuce,0.84,0.0042
35,25,apple,1.00,0.0010
36,58,bread,1.00,0.0012
37,0,background,0.95,0.0118
38,58,bread,1.00,0.0004
39,58,bread,1.00,0.0005
40,58,bread,1.00,0.0004
