id,category_id,category_name,category_count_ratio,mask_count_ratio
0,0,background,1.00,0.7070
1,58,bread,0.98,0.0536
2,46,steak,0.98,0.0344
3,93,onion,0.94,0.0121
4,58,bread,0.72,0.0816
5,73,tomato,0.92,0.0113
6,80,lettuce,0.80,0.0019
7,58,bread,1.00,0.0003
8,80,lettuce,0.69,0.0015
9,58,bread,0.73,0.0727
10,73,tomato,0.93,0.0113
11,93,onion,0.99,0.0078
12,58,bread,1.00,0.0003
13,58,bread,1.00,0.0002
14,58,bread,0.39,0.0017
15,93,onion,0.96,0.0204
16,80,lettuce,0.93,0.0012
17,46,steak,0.99,0.0130
18,58,bread,1.00,0.0002
19,9,cheese butter,0.52,0.0222
20,46,steak,0.99,0.0130
21,80,lettuce,0.88,0.0039
22,73,tomato,0.75,0.0088
23,80,lettuce,0.92,0.0013
24,58,bread,1.00,0.0003
25,58,bread,1.00,0.0003
26,73,tomato,0.78,0.0083
27,73,tomato,0.52,0.0023
28,80,lettuce,0.88,0.0028
29,58,bread,1.00,0.0003
30,58,bread,1.00,0.0002
31,58,bread,1.00,0.0002
32,80,lettuce,0.99,0.0006
33,80,lettuce,0.75,0.0033
34,58,bread,1.00,0.0002
