id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,176531,0,2,611,403,162.5625,312.375,1.0198469161987305,0.9965897798538208,0,0,612,408
1,13387,168,275,271,56,219.9375,286.875,1.0022377967834473,0.9809530973434448,0,0,612,408
2,8594,159,153,295,66,411.1875,197.625,0.9989233016967773,0.9769230484962463,0,0,612,408
3,3025,228,197,192,22,315.5625,210.375,0.9897452592849731,0.9742335081100464,0,0,612,408
4,20365,154,76,291,117,430.3125,172.125,0.987052321434021,0.9799124598503113,0,0,612,408
5,2829,294,212,164,36,372.9375,235.875,0.9855864644050598,0.9718163013458252,0,0,612,408
6,481,325,256,31,20,334.6875,274.125,0.9827284812927246,0.9958506226539612,0,0,612,408
7,63,409,135,6,9,411.1875,133.875,0.9768245816230774,1.0,0,0,612,408
8,363,386,262,31,17,392.0625,274.125,0.9751725792884827,0.9945054650306702,0,0,612,408
9,18142,164,213,293,118,430.3125,286.875,0.9741723537445068,0.95120769739151,0,0,612,408
10,2810,182,212,276,36,449.4375,235.875,0.9740597605705261,0.9627566933631897,0,0,612,408
11,1949,170,187,129,40,219.9375,197.625,0.9739412069320679,0.972588837146759,0,0,612,408
12,76,310,120,8,10,315.5625,121.125,0.9722543954849243,1.0,0,0,612,408
13,51,333,104,5,8,334.6875,108.375,0.9719630479812622,0.9807692170143127,0,0,612,408
14,422,370,146,39,21,392.0625,159.375,0.9710598587989807,0.9905660152435303,0,0,612,408
15,5103,171,187,250,39,315.5625,210.375,0.9648232460021973,0.9581968784332275,0,0,612,408
16,302,224,262,23,14,239.0625,274.125,0.9631337523460388,0.9739413857460022,0,0,612,408
17,3243,336,168,119,46,411.1875,184.875,0.9616778492927551,0.9801587462425232,0,0,612,408
18,57,365,94,9,6,372.9375,95.625,0.9587522149085999,1.0,0,0,612,408
19,5531,153,139,291,56,334.6875,172.125,0.9585375785827637,0.9666252732276917,0,0,612,408
20,3244,163,168,292,46,411.1875,197.625,0.9584563374519348,0.9807809591293335,0,0,612,408
21,984,248,260,76,15,315.5625,274.125,0.9572082161903381,0.9649649858474731,0,0,612,408
22,2193,163,218,181,38,315.5625,223.125,0.9568192362785339,0.9527839422225952,0,0,612,408
23,320,417,266,26,14,430.3125,274.125,0.9548825621604919,0.97826087474823,0,0,612,408
24,74,387,99,8,10,392.0625,108.375,0.9546753168106079,1.0,0,0,612,408
25,66,294,113,7,9,296.4375,121.125,0.950744092464447,0.970588207244873,0,0,612,408
26,2081,163,213,256,30,200.8125,223.125,0.9448923468589783,0.9567669034004211,0,0,612,408
27,564,210,141,55,17,239.0625,146.625,0.9400668144226074,0.9684210419654846,0,0,612,408
28,697,272,260,52,14,277.3125,261.375,0.9340563416481018,0.9716312289237976,0,0,612,408
29,79,277,110,7,11,277.3125,121.125,0.9335604310035706,0.9873417615890503,0,0,612,408
30,51,389,113,6,8,392.0625,121.125,0.9312776923179626,0.9615384340286255,0,0,612,408
31,46,221,102,6,7,219.9375,108.375,0.9212086200714111,1.0,0,0,612,408
32,139,354,265,19,10,372.9375,274.125,0.9158445596694946,0.9507042169570923,0,0,612,408
33,827,325,256,92,23,334.6875,274.125,0.9041875600814819,0.9630952477455139,0,0,612,408
34,53,406,107,9,8,411.1875,108.375,0.8801892995834351,0.9629629850387573,0,0,612,408
