id,category_id,category_name,category_count_ratio,mask_count_ratio
0,81,pumpkin,0.45,0.0491
1,38,pear,0.84,0.0267
2,25,apple,0.96,0.0292
3,0,background,0.99,0.0334
4,94,pepper,0.99,0.0196
5,44,orange,0.96,0.0189
6,25,apple,1.00,0.0195
7,25,apple,0.74,0.0370
8,44,orange,0.73,0.0277
9,44,orange,0.89,0.0180
10,25,apple,1.00,0.0323
11,25,apple,0.52,0.0219
12,44,orange,0.98,0.0205
13,73,tomato,0.85,0.0183
14,44,orange,0.99,0.0159
15,0,background,1.00,0.0476
16,41,grape,1.00,0.0026
17,25,apple,0.91,0.0132
18,44,orange,1.00,0.0091
19,44,orange,0.97,0.0177
20,94,pepper,1.00,0.0191
21,0,background,0.98,0.0905
22,28,avocado,0.52,0.0212
23,73,tomato,1.00,0.0016
24,73,tomato,0.89,0.0028
25,41,grape,1.00,0.0026
26,73,tomato,0.86,0.0224
27,25,apple,1.00,0.0219
28,41,grape,1.00,0.0030
29,25,apple,1.00,0.0221
30,38,pear,0.63,0.0282
31,73,tomato,1.00,0.0040
32,38,pear,0.67,0.0486
33,73,tomato,0.92,0.0024
34,25,apple,0.69,0.0621
35,73,tomato,1.00,0.0032
36,41,grape,0.98,0.0021
37,25,apple,0.66,0.0209
38,81,pumpkin,0.44,0.0503
39,73,tomato,1.00,0.0017
40,25,apple,0.72,0.0015
41,41,grape,0.54,0.0022
42,38,pear,0.63,0.0282
43,41,grape,1.00,0.0027
44,81,pumpkin,0.44,0.0502
45,0,background,0.99,0.0295
46,94,pepper,0.81,0.0021
47,41,grape,0.92,0.0023
48,41,grape,1.00,0.0021
49,73,tomato,1.00,0.0028
50,0,background,1.00,0.0025
51,41,grape,0.65,0.0021
52,0,background,1.00,0.0384
53,41,grape,1.00,0.0020
54,41,grape,1.00,0.0024
55,73,tomato,0.96,0.0026
56,44,orange,0.97,0.0178
57,41,grape,1.00,0.0013
58,41,grape,1.00,0.0019
59,41,grape,1.00,0.0016
60,73,tomato,0.95,0.0030
61,73,tomato,0.66,0.0016
62,0,background,0.98,0.0913
63,41,grape,1.00,0.0020
64,29,banana,0.52,0.0021
65,25,apple,0.51,0.0013
66,25,apple,1.00,0.0085
67,73,tomato,1.00,0.0026
68,41,grape,0.85,0.0021
69,29,banana,0.69,0.0055
70,0,background,1.00,0.0181
71,41,grape,1.00,0.0018
72,41,grape,0.99,0.0030
73,41,grape,0.71,0.0024
74,41,grape,0.98,0.0018
75,41,grape,0.99,0.0030
76,0,background,0.99,0.0314
77,94,pepper,0.98,0.0282
78,73,tomato,0.92,0.0055
79,41,grape,0.54,0.0020
80,44,orange,0.72,0.0281
81,94,pepper,0.98,0.0020
82,73,tomato,1.00,0.0010
83,29,banana,0.81,0.0043
84,41,grape,1.00,0.0009
85,73,tomato,0.71,0.0024
86,73,tomato,1.00,0.0030
87,41,grape,1.00,0.0010
88,29,banana,0.72,0.0038
89,25,apple,0.90,0.0089
90,41,grape,1.00,0.0020
91,34,mango,0.58,0.0020
92,44,orange,0.98,0.0292
93,41,grape,1.00,0.0018
94,73,tomato,1.00,0.0030
95,94,pepper,1.00,0.0039
96,41,grape,0.97,0.0039
97,94,pepper,1.00,0.0114
98,73,tomato,1.00,0.0073
99,41,grape,1.00,0.0014
100,94,pepper,0.99,0.0027
101,73,tomato,1.00,0.0072
