id,category_id,category_name,category_count_ratio,mask_count_ratio
0,0,background,1.00,0.3323
1,73,tomato,0.80,0.0480
2,24,egg,0.57,0.0288
3,0,background,1.00,0.0050
4,0,background,0.93,0.1302
5,0,background,0.93,0.0880
6,73,tomato,1.00,0.0009
7,24,egg,1.00,0.0047
8,0,background,1.00,0.0673
9,73,tomato,0.80,0.0480
10,0,background,1.00,0.0136
11,0,background,1.00,0.0125
12,0,background,1.00,0.0088
13,89,cilantro mint,0.69,0.0081
14,0,background,0.93,0.1301
15,0,background,1.00,0.0024
16,0,background,1.00,0.0003
17,0,background,0.93,0.0409
18,0,background,1.00,0.0027
19,24,egg,1.00,0.0003
20,0,background,1.00,0.0050
21,0,background,1.00,0.0017
22,73,tomato,0.77,0.0006
23,0,background,0.97,0.0035
24,0,background,1.00,0.0118
25,0,background,1.00,0.0115
26,0,background,1.00,0.0004
27,0,background,1.00,0.0017
28,0,background,1.00,0.0016
29,0,background,0.83,0.0978
30,0,background,1.00,0.0057
31,0,background,1.00,0.0139
32,0,background,1.00,0.0021
33,0,background,1.00,0.0038
34,0,background,1.00,0.0139
35,73,tomato,0.98,0.0064
36,73,tomato,0.67,0.0044
37,73,tomato,1.00,0.0060
38,0,background,1.00,0.0008
39,0,background,1.00,0.0055
40,0,background,1.00,0.0011
41,0,background,1.00,0.0017
42,0,background,1.00,0.0081
43,0,background,1.00,0.0135
44,0,background,1.00,0.0017
45,0,background,1.00,0.0068
46,0,background,1.00,0.0034
47,0,background,1.00,0.0045
48,0,background,1.00,0.0046
49,0,background,1.00,0.0007
50,73,tomato,1.00,0.0001
51,73,tomato,1.00,0.0021
52,0,background,1.00,0.0030
53,73,tomato,1.00,0.0002
54,73,tomato,1.00,0.0067
55,0,background,1.00,0.0045
56,0,background,1.00,0.0017
57,73,tomato,0.83,0.0303
58,0,background,1.00,0.0005
59,0,background,1.00,0.0048
60,0,background,1.00,0.0034
61,0,background,1.00,0.0098
