id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,116548,12,19,715,444,127.1875,140.71875,1.0234837532043457,0.9671260714530945,0,0,740,474
1,16821,403,251,191,125,474.0625,318.46875,1.014544129371643,0.9901236295700073,0,0,740,474
2,10116,257,244,149,85,404.6875,288.84375,1.0082745552062988,0.9896674156188965,0,0,740,474
3,1741,202,189,48,43,242.8125,214.78125,1.0074084997177124,0.988034188747406,0,0,740,474
4,45666,140,8,301,255,265.9375,170.34375,1.0073871612548828,0.9828338027000427,0,0,740,474
5,30860,174,8,232,216,196.5625,170.34375,1.0000977516174316,0.9536272287368774,0,0,740,474
6,302,466,283,27,16,474.0625,288.84375,0.9948350787162781,0.9576547145843506,0,0,740,474
7,1664,283,252,64,33,335.3125,274.03125,0.9944726824760437,0.9910287261009216,0,0,740,474
8,23617,176,211,282,170,404.6875,348.09375,0.9865564703941345,0.9697601795196533,0,0,740,474
9,16849,267,251,327,125,589.6875,274.03125,0.9861085414886475,0.985710084438324,0,0,740,474
10,4777,564,189,78,100,589.6875,199.96875,0.9822823405265808,0.9844527244567871,0,0,740,474
11,4402,494,172,87,77,520.3125,214.78125,0.9795075058937073,0.9562610983848572,0,0,740,474
12,3087,270,166,88,46,289.0625,185.15625,0.9791755676269531,0.9759769439697266,0,0,740,474
13,2836,211,56,147,61,335.3125,66.65625,0.9770724177360535,0.9660311937332153,0,0,740,474
14,45621,140,8,451,255,219.6875,185.15625,0.9768126010894775,0.9723723530769348,0,0,740,474
15,828,486,95,31,32,497.1875,125.90625,0.9762912392616272,0.9867947101593018,0,0,740,474
16,94,347,345,13,8,358.4375,348.09375,0.9718965888023376,1.0,0,0,740,474
17,14344,140,99,301,164,173.4375,155.53125,0.9718339443206787,0.952517032623291,0,0,740,474
18,949,332,16,60,80,358.4375,51.84375,0.9713575839996338,0.9741200804710388,0,0,740,474
19,110,268,283,12,9,265.9375,288.84375,0.9683860540390015,0.9732142686843872,0,0,740,474
20,1742,371,122,42,52,404.6875,155.53125,0.966938316822052,0.9710556268692017,0,0,740,474
